"date","primary_doses","booster_doses","scenario","iso3c"
"2020-01-03",0,0,"Decrease","ALB"
"2020-01-03",0,0,"Increase","ALB"
"2020-12-08",0,0,"Decrease","ALB"
"2020-12-08",0,0,"Increase","ALB"
"2020-12-09",0,0,"Decrease","ALB"
"2020-12-09",0,0,"Increase","ALB"
"2020-12-10",0,0,"Decrease","ALB"
"2020-12-10",0,0,"Increase","ALB"
"2020-12-11",0,0,"Decrease","ALB"
"2020-12-11",0,0,"Increase","ALB"
"2020-12-12",0,0,"Decrease","ALB"
"2020-12-12",0,0,"Increase","ALB"
"2020-12-13",0,0,"Decrease","ALB"
"2020-12-13",0,0,"Increase","ALB"
"2020-12-14",0,0,"Decrease","ALB"
"2020-12-14",0,0,"Increase","ALB"
"2020-12-15",0,0,"Decrease","ALB"
"2020-12-15",0,0,"Increase","ALB"
"2020-12-16",0,0,"Decrease","ALB"
"2020-12-16",0,0,"Increase","ALB"
"2020-12-17",0,0,"Decrease","ALB"
"2020-12-17",0,0,"Increase","ALB"
"2020-12-18",0,0,"Decrease","ALB"
"2020-12-18",0,0,"Increase","ALB"
"2020-12-19",0,0,"Decrease","ALB"
"2020-12-19",0,0,"Increase","ALB"
"2020-12-20",0,0,"Decrease","ALB"
"2020-12-20",0,0,"Increase","ALB"
"2020-12-21",0,0,"Decrease","ALB"
"2020-12-21",0,0,"Increase","ALB"
"2020-12-22",0,0,"Decrease","ALB"
"2020-12-22",0,0,"Increase","ALB"
"2020-12-23",0,0,"Decrease","ALB"
"2020-12-23",0,0,"Increase","ALB"
"2020-12-24",0,0,"Decrease","ALB"
"2020-12-24",0,0,"Increase","ALB"
"2020-12-25",0,0,"Decrease","ALB"
"2020-12-25",0,0,"Increase","ALB"
"2020-12-26",0,0,"Decrease","ALB"
"2020-12-26",0,0,"Increase","ALB"
"2020-12-27",0,0,"Decrease","ALB"
"2020-12-27",0,0,"Increase","ALB"
"2020-12-28",0,0,"Decrease","ALB"
"2020-12-28",0,0,"Increase","ALB"
"2020-12-29",0,0,"Decrease","ALB"
