"","iso3c","scenario","deaths_med","hospitalisations_med","infections_med","deaths_025","hospitalisations_025","infections_025","deaths_975","hospitalisations_975","infections_975"
"1","AGO","Baseline",22499.8354071125,93692.4008645947,10600161.3033716,21358.9135941596,31064.2927944884,3426846.73304561,23976.4806320414,178421.34228958,19922682.0515896
"2","AGO","Decrease",24171.4742751636,98945.8106757678,11146079.8217751,23159.2086885787,33281.0009993293,3659922.61967571,25822.6835123199,185993.553806158,20601287.1303968
"3","AGO","Increase",21527.8837316606,89470.056882495,10133095.5539991,19679.9001127082,29349.2609136459,3235296.24051529,22795.791489928,172083.358572955,19243846.7712619
"4","ZAF","Baseline",252450.529905355,1244896.28403153,81289937.8423259,248515.493004211,748692.814832748,46219520.1736365,258217.849167714,1495993.40912375,96746075.4562934
"5","ZAF","Decrease",260208.346261303,1284108.19005906,82843806.4607584,256403.960287643,780791.118761319,47819583.151418,268736.743056725,1538988.80508579,98057535.718989
"6","ZAF","Increase",244975.848802688,1203674.2649257,79635449.1791732,237844.403937169,721625.801548714,44910299.5465325,252965.00322029,1458547.04814534,95364889.0212638
