"date","primary_doses","booster_doses","scenario","iso3c"
"2020-01-03",0,0,"New Coverage","ALB"
"2020-12-08",0,0,"New Coverage","ALB"
"2020-12-09",0,0,"New Coverage","ALB"
"2020-12-10",0,0,"New Coverage","ALB"
"2020-12-11",0,0,"New Coverage","ALB"
"2020-12-12",0,0,"New Coverage","ALB"
"2020-12-13",0,0,"New Coverage","ALB"
"2020-12-14",0,0,"New Coverage","ALB"
"2020-12-15",0,0,"New Coverage","ALB"
"2020-12-16",0,0,"New Coverage","ALB"
"2020-12-17",0,0,"New Coverage","ALB"
"2020-12-18",0,0,"New Coverage","ALB"
"2020-12-19",0,0,"New Coverage","ALB"
"2020-12-20",0,0,"New Coverage","ALB"
"2020-12-21",0,0,"New Coverage","ALB"
"2020-12-22",0,0,"New Coverage","ALB"
"2020-12-23",0,0,"New Coverage","ALB"
"2020-12-24",0,0,"New Coverage","ALB"
"2020-12-25",0,0,"New Coverage","ALB"
"2020-12-26",0,0,"New Coverage","ALB"
"2020-12-27",0,0,"New Coverage","ALB"
"2020-12-28",0,0,"New Coverage","ALB"
"2020-12-29",0,0,"New Coverage","ALB"
"2020-12-30",0,0,"New Coverage","ALB"
"2020-12-31",0,0,"New Coverage","ALB"
"2021-01-01",0,0,"New Coverage","ALB"
"2021-01-02",0,0,"New Coverage","ALB"
"2021-01-03",0,0,"New Coverage","ALB"
"2021-01-04",0,0,"New Coverage","ALB"
"2021-01-05",0,0,"New Coverage","ALB"
"2021-01-06",0,0,"New Coverage","ALB"
"2021-01-07",0,0,"New Coverage","ALB"
"2021-01-08",0,0,"New Coverage","ALB"
"2021-01-09",0,0,"New Coverage","ALB"
"2021-01-10",0,0,"New Coverage","ALB"
"2021-01-11",0,0,"New Coverage","ALB"
"2021-01-12",0,0,"New Coverage","ALB"
"2021-01-13",0,0,"New Coverage","ALB"
"2021-01-14",0,0,"New Coverage","ALB"
"2021-01-15",0,0,"New Coverage","ALB"
"2021-01-16",0,0,"New Coverage","ALB"
"2021-01-17",0,0,"New Coverage","ALB"
"2021-01-18",0,0,"New Coverage","ALB"
"2021-01-19",0,0,"New Coverage","ALB"
"2021-01-20",0,0,"New Coverage","ALB"
"2021-01-21",0,0,"New Coverage","ALB"
"2021-01-22",0,0,"New Coverage","ALB"
"2021-01-23",0,0,"New Coverage","ALB"
"2021-01-24",0,0,"New Coverage","ALB"
"2021-01-25",0,0,"New Coverage","ALB"
"2021-01-26",0,0,"New Coverage","ALB"
"2021-01-27",0,0,"New Coverage","ALB"
"2021-01-28",0,0,"New Coverage","ALB"
"2021-01-29",0,0,"New Coverage","ALB"
"2021-01-30",0,0,"New Coverage","ALB"
"2021-01-31",0,0,"New Coverage","ALB"
"2021-02-01",0,0,"New Coverage","ALB"
"2021-02-02",0,0,"New Coverage","ALB"
"2021-02-03",0,0,"New Coverage","ALB"
"2021-02-04",0,0,"New Coverage","ALB"
"2021-02-05",0,0,"New Coverage","ALB"
"2021-02-06",0,0,"New Coverage","ALB"
"2021-02-07",0,0,"New Coverage","ALB"
"2021-02-08",0,0,"New Coverage","ALB"
"2021-02-09",0,0,"New Coverage","ALB"
"2021-02-10",0,0,"New Coverage","ALB"
"2021-02-11",0,0,"New Coverage","ALB"
"2021-02-12",0,0,"New Coverage","ALB"
"2021-02-13",0,0,"New Coverage","ALB"
"2021-02-14",0,0,"New Coverage","ALB"
"2021-02-15",0,0,"New Coverage","ALB"
"2021-02-16",0,0,"New Coverage","ALB"
"2021-02-17",0,0,"New Coverage","ALB"
"2021-02-18",0,0,"New Coverage","ALB"
"2021-02-19",0,0,"New Coverage","ALB"
"2021-02-20",0,0,"New Coverage","ALB"
"2021-02-21",0,0,"New Coverage","ALB"
"2021-02-22",0,0,"New Coverage","ALB"
"2021-02-23",0,0,"New Coverage","ALB"
"2021-02-24",0,0,"New Coverage","ALB"
"2021-02-25",0,0,"New Coverage","ALB"
"2021-02-26",0,0,"New Coverage","ALB"
"2021-02-27",0,0,"New Coverage","ALB"
"2021-02-28",0,0,"New Coverage","ALB"
"2021-03-01",0,0,"New Coverage","ALB"
"2021-03-02",21,0,"New Coverage","ALB"
"2021-03-03",22,0,"New Coverage","ALB"
"2021-03-04",21,0,"New Coverage","ALB"
"2021-03-05",22,0,"New Coverage","ALB"
"2021-03-06",21,0,"New Coverage","ALB"
"2021-03-07",21,0,"New Coverage","ALB"
"2021-03-08",22,0,"New Coverage","ALB"
"2021-03-09",21,0,"New Coverage","ALB"
"2021-03-10",22,0,"New Coverage","ALB"
"2021-03-11",21,0,"New Coverage","ALB"
"2021-03-12",21,0,"New Coverage","ALB"
"2021-03-13",22,0,"New Coverage","ALB"
"2021-03-14",21,0,"New Coverage","ALB"
"2021-03-15",22,0,"New Coverage","ALB"
"2021-03-16",21,0,"New Coverage","ALB"
"2021-03-17",21,0,"New Coverage","ALB"
"2021-03-18",22,0,"New Coverage","ALB"
"2021-03-19",21,0,"New Coverage","ALB"
"2021-03-20",22,0,"New Coverage","ALB"
"2021-03-21",21,0,"New Coverage","ALB"
"2021-03-22",21,0,"New Coverage","ALB"
"2021-03-23",22,0,"New Coverage","ALB"
"2021-03-24",21,0,"New Coverage","ALB"
"2021-03-25",22,0,"New Coverage","ALB"
"2021-03-26",21,0,"New Coverage","ALB"
"2021-03-27",21,0,"New Coverage","ALB"
"2021-03-28",22,0,"New Coverage","ALB"
"2021-03-29",21,0,"New Coverage","ALB"
"2021-03-30",22,0,"New Coverage","ALB"
"2021-03-31",21,0,"New Coverage","ALB"
"2021-04-01",21,0,"New Coverage","ALB"
"2021-04-02",22,0,"New Coverage","ALB"
"2021-04-03",21,0,"New Coverage","ALB"
"2021-04-04",22,0,"New Coverage","ALB"
"2021-04-05",21,0,"New Coverage","ALB"
"2021-04-06",21,0,"New Coverage","ALB"
"2021-04-07",22,0,"New Coverage","ALB"
"2021-04-08",21,0,"New Coverage","ALB"
"2021-04-09",22,0,"New Coverage","ALB"
"2021-04-10",21,0,"New Coverage","ALB"
"2021-04-11",21,0,"New Coverage","ALB"
"2021-04-12",22,0,"New Coverage","ALB"
"2021-04-13",21,0,"New Coverage","ALB"
"2021-04-14",22,0,"New Coverage","ALB"
"2021-04-15",21,0,"New Coverage","ALB"
"2021-04-16",21,0,"New Coverage","ALB"
"2021-04-17",22,0,"New Coverage","ALB"
"2021-04-18",21,0,"New Coverage","ALB"
"2021-04-19",22,0,"New Coverage","ALB"
"2021-04-20",21,0,"New Coverage","ALB"
"2021-04-21",21,0,"New Coverage","ALB"
"2021-04-22",22,0,"New Coverage","ALB"
"2021-04-23",21,0,"New Coverage","ALB"
"2021-04-24",22,0,"New Coverage","ALB"
"2021-04-25",21,0,"New Coverage","ALB"
"2021-04-26",21,0,"New Coverage","ALB"
"2021-04-27",22,0,"New Coverage","ALB"
"2021-04-28",21,0,"New Coverage","ALB"
"2021-04-29",22,0,"New Coverage","ALB"
"2021-04-30",21,0,"New Coverage","ALB"
"2021-05-01",126,0,"New Coverage","ALB"
"2021-05-02",288,0,"New Coverage","ALB"
"2021-05-03",288,0,"New Coverage","ALB"
"2021-05-04",288,0,"New Coverage","ALB"
"2021-05-05",288,0,"New Coverage","ALB"
"2021-05-06",288,0,"New Coverage","ALB"
"2021-05-07",288,0,"New Coverage","ALB"
"2021-05-08",288,0,"New Coverage","ALB"
"2021-05-09",288,0,"New Coverage","ALB"
"2021-05-10",288,0,"New Coverage","ALB"
"2021-05-11",288,0,"New Coverage","ALB"
"2021-05-12",288,0,"New Coverage","ALB"
"2021-05-13",288,0,"New Coverage","ALB"
"2021-05-14",287,0,"New Coverage","ALB"
"2021-05-15",288,0,"New Coverage","ALB"
"2021-05-16",288,0,"New Coverage","ALB"
"2021-05-17",288,0,"New Coverage","ALB"
"2021-05-18",288,0,"New Coverage","ALB"
"2021-05-19",288,0,"New Coverage","ALB"
"2021-05-20",288,0,"New Coverage","ALB"
"2021-05-21",288,0,"New Coverage","ALB"
"2021-05-22",288,0,"New Coverage","ALB"
"2021-05-23",288,0,"New Coverage","ALB"
"2021-05-24",288,0,"New Coverage","ALB"
"2021-05-25",288,0,"New Coverage","ALB"
"2021-05-26",288,0,"New Coverage","ALB"
"2021-05-27",288,0,"New Coverage","ALB"
"2021-05-28",288,0,"New Coverage","ALB"
"2021-05-29",287,0,"New Coverage","ALB"
"2021-05-30",288,0,"New Coverage","ALB"
"2021-05-31",288,0,"New Coverage","ALB"
"2021-06-01",455,0,"New Coverage","ALB"
"2021-06-02",454,0,"New Coverage","ALB"
"2021-06-03",454,0,"New Coverage","ALB"
"2021-06-04",454,0,"New Coverage","ALB"
"2021-06-05",455,0,"New Coverage","ALB"
"2021-06-06",1311,0,"New Coverage","ALB"
"2021-06-07",1947,0,"New Coverage","ALB"
"2021-06-08",1948,0,"New Coverage","ALB"
"2021-06-09",1947,0,"New Coverage","ALB"
"2021-06-10",1947,0,"New Coverage","ALB"
"2021-06-11",1948,0,"New Coverage","ALB"
"2021-06-12",1947,0,"New Coverage","ALB"
"2021-06-13",1947,0,"New Coverage","ALB"
"2021-06-14",1947,0,"New Coverage","ALB"
"2021-06-15",1948,0,"New Coverage","ALB"
"2021-06-16",1947,0,"New Coverage","ALB"
"2021-06-17",1947,0,"New Coverage","ALB"
"2021-06-18",1948,0,"New Coverage","ALB"
"2021-06-19",1947,0,"New Coverage","ALB"
"2021-06-20",1947,0,"New Coverage","ALB"
"2021-06-21",1947,0,"New Coverage","ALB"
"2021-06-22",1948,0,"New Coverage","ALB"
"2021-06-23",1947,0,"New Coverage","ALB"
"2021-06-24",1947,0,"New Coverage","ALB"
"2021-06-25",1948,0,"New Coverage","ALB"
"2021-06-26",1947,0,"New Coverage","ALB"
"2021-06-27",1947,0,"New Coverage","ALB"
"2021-06-28",1948,0,"New Coverage","ALB"
"2021-06-29",1947,0,"New Coverage","ALB"
"2021-06-30",1947,0,"New Coverage","ALB"
"2021-07-01",5236,0,"New Coverage","ALB"
"2021-07-02",5235,0,"New Coverage","ALB"
"2021-07-03",5236,0,"New Coverage","ALB"
"2021-07-04",5236,0,"New Coverage","ALB"
"2021-07-05",5235,0,"New Coverage","ALB"
"2021-07-06",5236,0,"New Coverage","ALB"
"2021-07-07",5236,0,"New Coverage","ALB"
"2021-07-08",5235,0,"New Coverage","ALB"
"2021-07-09",5236,0,"New Coverage","ALB"
"2021-07-10",5235,0,"New Coverage","ALB"
"2021-07-11",5236,0,"New Coverage","ALB"
"2021-07-12",5236,0,"New Coverage","ALB"
"2021-07-13",5235,0,"New Coverage","ALB"
"2021-07-14",5236,0,"New Coverage","ALB"
"2021-07-15",5236,0,"New Coverage","ALB"
"2021-07-16",5235,0,"New Coverage","ALB"
"2021-07-17",5236,0,"New Coverage","ALB"
"2021-07-18",5235,0,"New Coverage","ALB"
"2021-07-19",5236,0,"New Coverage","ALB"
"2021-07-20",5236,0,"New Coverage","ALB"
"2021-07-21",5235,0,"New Coverage","ALB"
"2021-07-22",5236,0,"New Coverage","ALB"
"2021-07-23",5236,0,"New Coverage","ALB"
"2021-07-24",5235,0,"New Coverage","ALB"
"2021-07-25",5236,0,"New Coverage","ALB"
"2021-07-26",5235,0,"New Coverage","ALB"
"2021-07-27",5236,0,"New Coverage","ALB"
"2021-07-28",5236,0,"New Coverage","ALB"
"2021-07-29",2660,0,"New Coverage","ALB"
"2021-07-30",2324,0,"New Coverage","ALB"
"2021-07-31",2324,0,"New Coverage","ALB"
"2021-08-01",5318,0,"New Coverage","ALB"
"2021-08-02",5318,0,"New Coverage","ALB"
"2021-08-03",5318,0,"New Coverage","ALB"
"2021-08-04",5318,0,"New Coverage","ALB"
"2021-08-05",5319,0,"New Coverage","ALB"
"2021-08-06",5318,0,"New Coverage","ALB"
"2021-08-07",5318,0,"New Coverage","ALB"
"2021-08-08",5318,0,"New Coverage","ALB"
"2021-08-09",5319,0,"New Coverage","ALB"
